11.5,14,13.5,0,1,0,1,0,0,1,0,APROBADO
20,17,13.25,1,0,0,1,0,0,0,1,SOBRESALIENTE
15,18,16.75,1,0,0,1,0,0,1,0,APROBADO
6,3.25,5.25,0,0,1,1,0,1,0,0,JALADO
16.5,11.75,5.25,1,0,0,1,0,0,1,0,APROBADO
20,18,17,1,0,0,1,0,0,0,1,SOBRESALIENTE
13,14.25,13.5,1,0,0,1,0,0,1,0,APROBADO
16,9.75,9.75,1,0,0,1,0,0,1,0,APROBADO
16,8.25,12,0,0,1,1,0,0,1,0,APROBADO
14.5,15.5,8,1,0,0,1,0,0,1,0,APROBADO
1,7.5,13.75,1,0,0,1,0,1,0,0,JALADO
13,6.5,8,1,0,0,1,0,0,1,0,APROBADO
12,14,9.75,1,0,0,1,0,0,1,0,APROBADO
17.5,13.75,8,1,0,0,1,0,0,1,0,APROBADO
16,11.75,0,1,0,0,1,0,0,1,0,APROBADO
0,6.75,0,0,1,0,1,0,1,0,0,JALADO
15.5,10.25,6,1,0,0,1,0,0,1,0,APROBADO
17,12.5,14.5,0,1,0,1,0,0,1,0,APROBADO
13,5.5,6,0,1,0,1,0,1,0,0,JALADO
20,19.5,18.25,1,0,0,1,0,0,0,1,SOBRESALIENTE
19.5,13.75,3.5,0,0,1,0,1,0,1,0,APROBADO
13.5,10,7,0,0,1,1,0,1,0,0,JALADO
18,19,13.5,1,0,0,1,0,0,0,1,SOBRESALIENTE
16,7.75,10.5,1,0,0,1,0,1,0,0,JALADO
20,17,13,0,0,1,1,0,0,1,0,APROBADO
16,12.25,12,1,0,0,0,1,0,1,0,APROBADO
11.5,14.5,10.5,1,0,0,1,0,0,1,0,APROBADO
20,15.5,16,0,0,1,1,0,0,1,0,APROBADO
17,17.5,15,1,0,0,1,0,0,0,1,SOBRESALIENTE
15,14,10,1,0,0,1,0,0,1,0,APROBADO
17.5,8,8.5,1,0,0,1,0,0,1,0,APROBADO
14.5,16,9,1,0,0,1,0,0,1,0,APROBADO
16,10.5,9.25,1,0,0,0,1,0,1,0,APROBADO
20,13,9,0,0,1,0,1,0,1,0,APROBADO
20,16.25,13.5,1,0,0,1,0,0,1,0,APROBADO
12,9.25,5,1,0,0,1,0,0,1,0,APROBADO
20,16.25,11.5,1,0,0,1,0,0,1,0,APROBADO
19.5,9.5,7,1,0,0,1,0,1,0,0,JALADO
20,12.5,15,1,0,0,1,0,0,1,0,APROBADO
16.5,15,15,1,0,0,1,0,0,1,0,APROBADO
19,13.5,12.25,1,0,0,1,0,0,1,0,APROBADO
9.5,10.25,6.5,1,0,0,1,0,0,1,0,APROBADO
17,9.5,6,0,0,1,1,0,1,0,0,JALADO
20,20,19,1,0,0,1,0,0,0,1,SOBRESALIENTE
